Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
ag_news,nlpaueb/sec-bert-base,hellinger,0.5,0.953334431221856,0.022911458294401752
ag_news,nlpaueb/sec-bert-base,hellinger,0.75,0.9525990008357175,0.013544607790834731
ag_news,nlpaueb/sec-bert-base,hellinger,1.0,0.9712748379915782,0.02388387350773315
ag_news,nlpaueb/sec-bert-base,js,0.0,0.6326997786075341,0.012487858651144506
ag_news,nlpaueb/sec-bert-base,js,0.25,0.6173268919465354,0.0434048282331048
ag_news,nlpaueb/sec-bert-base,js,0.5,0.615676350062785,0.06497862105262803
ag_news,nlpaueb/sec-bert-base,js,0.75,0.5859173206995795,0.015658161116122876
ag_news,nlpaueb/sec-bert-base,js,1.0,0.6265195759898238,0.037062171380938806
ag_news,nlpaueb/sec-bert-base,kl,0.0,21.549089941851538,0.24035377154144508
ag_news,nlpaueb/sec-bert-base,kl,0.25,21.39150202671296,0.9640752069224725
ag_news,nlpaueb/sec-bert-base,kl,0.5,21.22779493522795,0.5047532088893395
ag_news,nlpaueb/sec-bert-base,kl,0.75,21.232960209715202,0.7700602643650819
ag_news,nlpaueb/sec-bert-base,kl,1.0,22.028764308865192,0.23584228649748173
ag_news,nlpaueb/sec-bert-base,mmd,0.0,0.12663638343413672,0.008493758320386175
ag_news,nlpaueb/sec-bert-base,mmd,0.25,0.1607054571310679,0.004423614244668023
ag_news,nlpaueb/sec-bert-base,mmd,0.5,0.23292752106984457,0.0034905585282660697
ag_news,nlpaueb/sec-bert-base,mmd,0.75,0.28382618228594464,0.010773184783504626
ag_news,nlpaueb/sec-bert-base,mmd,1.0,0.31516791383425397,0.015500953291301538
ag_news,nlpaueb/sec-bert-base,wasserstein,0.0,1.0686523056030273,0.03788578493589314
ag_news,nlpaueb/sec-bert-base,wasserstein,0.25,1.2653623883426188,0.18320184113393317
ag_news,nlpaueb/sec-bert-base,wasserstein,0.5,1.6573140013217926,0.5676559237135282
ag_news,nlpaueb/sec-bert-base,wasserstein,0.75,1.9405452334384121,0.7645392359576685
ag_news,nlpaueb/sec-bert-base,wasserstein,1.0,2.0860153393944105,0.7470912386848788
wikitext,bert-base-uncased,bhattacharyya,0.0,0.5984911344747864,0.1350574249943645
wikitext,bert-base-uncased,bhattacharyya,0.25,0.7051213963450113,0.0525932683924885
wikitext,bert-base-uncased,bhattacharyya,0.5,0.7814571269101522,0.09294017243161135
wikitext,bert-base-uncased,bhattacharyya,0.75,0.8471588992023943,0.07918425237174545
wikitext,bert-base-uncased,bhattacharyya,1.0,0.8490138109851711,0.11956358715723922
wikitext,bert-base-uncased,hellinger,0.0,0.6668588824370761,0.05821264330705462
wikitext,bert-base-uncased,hellinger,0.25,0.7008226120994573,0.031325062759487675
