batch,seen_samples,ipca_time_s,kll_time_s,throughput_sps,ipca_mem_delta,kll_mem_delta,kll_bytes,pca_mse,kll_median_err
64,64000,0.0003929999948013574,0.00035766699875239283,1332148.6206098879,0,0,10000,,
65,65000,0.00039354200271191075,0.0003468750001047738,1350590.2703420008,0,0,9920,,
66,66000,0.00039729200216243044,0.0003452079981798306,1346801.3461805284,0,0,9760,,
67,67000,0.00042183299956377596,0.0003341249976074323,1322824.8179687178,0,0,10000,,
68,68000,0.00039325000398093835,0.000341874998412095,1360312.8675323597,0,0,9840,,
69,69000,0.00039033299981383607,0.000359874997229781,1332963.663331704,0,0,9840,,
70,70000,0.00040008299401961267,0.00034766600583679974,1337347.1581934933,16384,0,9760,,
71,71000,0.00039229200046975166,0.00032949999877018854,1385440.6824306971,0,0,9920,,
72,72000,0.0003883340032189153,0.00032500000088475645,1401867.8406569636,0,0,10000,,
73,73000,0.00037545899976976216,0.00031579100323142484,1446654.6049306605,0,0,9840,,
74,74000,0.00038254199898801744,0.0003084999989368953,1447090.0509706186,0,0,9920,,
75,75000,0.00037924999924143776,0.0003010000000358559,1470047.7781145356,0,0,9680,,
76,76000,0.0003812909999396652,0.0003065839991904795,1453752.500475456,0,0,10000,,
77,77000,0.0003913750042556785,0.0003035830013686791,1438935.8664939608,0,0,9840,,
78,78000,0.0003803750005317852,0.00029762500344077125,1474926.2450453867,0,0,9680,,
79,79000,0.00042545799806248397,0.0003342080017318949,1316367.9831276813,0,0,10080,,
80,80000,0.00038012500590411946,0.00032920800003921613,1409775.0867663475,0,0,10080,,
81,81000,0.00038570899778278545,0.0003257919961470179,1405479.4139875227,0,0,10080,,
82,82000,0.0003942090042983182,0.0003252079986850731,1390014.408685148,0,0,9920,,
83,83000,0.0003843749946099706,0.00035762500192504376,1347708.9011722263,0,0,9680,,
84,84000,0.0003851669971481897,0.0003399580018594861,1379072.5755814337,0,0,9680,,
85,85000,0.00038633300573565066,0.0003293330009910278,1397299.8446213922,0,0,9760,,
86,86000,0.0003938750014640391,0.0003379580011824146,1366431.9542625176,0,0,10080,,
87,87000,0.00038345799839589745,0.00034129199775634333,1379786.1404747635,0,0,9760,,
88,88000,0.00038170900370460004,0.00031779099663253874,1429592.565429634,0,0,10000,,
89,89000,0.00039820799429435283,0.0003419579952606,1351048.2974248521,0,0,9600,,
90,90000,0.0003839999990304932,0.000326583998685237,1407293.1605758604,0,0,10080,,
91,91000,0.00040587499825051054,0.00033025000448105857,1358464.9295829637,0,0,9760,,
92,92000,0.00042145800398429856,0.000324332999298349,1340858.223816639,0,0,10080,,
93,93000,0.00040054200508166105,0.0003179580016876571,1391788.435043203,0,0,9920,,
94,94000,0.0003834160015685484,0.0003077079963986762,1446918.3575469237,0,0,9760,,
95,95000,0.0003946659999201074,0.0003492920004646294,1344161.900917594,16384,0,10080,,
96,96000,0.00038100000529084355,0.00030654200236313045,1454456.5842779453,0,0,9920,,
97,97000,0.00042054200457641855,0.0003395000021555461,1315716.7513672158,0,0,10080,,
98,98000,0.0004167080041952431,0.0003252079986850731,1347861.4777383595,0,0,9680,,
99,99000,0.0003795000011450611,0.00031504200160270557,1439797.7315177077,0,0,9920,,
100,100000,0.0003928749938495457,0.00032254200050374493,1397786.1972708118,0,0,9920,,
