Dataset,Model,Measure,Drift Strength,Mean,Std
ag_news,nlpaueb/sec-bert-base,kl,0.75,4.194312950462527,0.23201606671337488
ag_news,nlpaueb/sec-bert-base,kl,1.0,4.965699540084452,0.22794018345550163
ag_news,nlpaueb/sec-bert-base,js,0.0,0.05512452137060115,0.0009215637353747634
ag_news,nlpaueb/sec-bert-base,js,0.25,0.07300535412038488,0.002499684451515702
ag_news,nlpaueb/sec-bert-base,js,0.5,0.12707145092709135,0.005822373223157815
ag_news,nlpaueb/sec-bert-base,js,0.75,0.1737789322682468,0.00298828241580458
ag_news,nlpaueb/sec-bert-base,js,1.0,0.2075118764636945,0.0038698144617430926
ag_news,nlpaueb/sec-bert-base,hellinger,0.0,0.25681544097611075,0.0034208270127457
ag_news,nlpaueb/sec-bert-base,hellinger,0.25,0.29530484636491644,0.006818507790458038
ag_news,nlpaueb/sec-bert-base,hellinger,0.5,0.392967801158042,0.004663558052967824
ag_news,nlpaueb/sec-bert-base,hellinger,0.75,0.4704483440844697,0.0038115066114309754
ag_news,nlpaueb/sec-bert-base,hellinger,1.0,0.5123150382848056,0.0023615288740015256
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.06824406797440441,0.001879192418465726
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.09258474418382674,0.005845781651698803
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.16778154041262652,0.006524749986979712
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.24231321301157205,0.005899303386109973
ag_news,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.30073934664298085,0.00919624960608083
ag_news,nlpaueb/sec-bert-base,mmd,0.0,0.017158446833491325,0.0003923010954167694
ag_news,nlpaueb/sec-bert-base,mmd,0.25,0.09882887452840805,0.0018457461846992373
ag_news,nlpaueb/sec-bert-base,mmd,0.5,0.1905568242073059,0.0033711204305291176
ag_news,nlpaueb/sec-bert-base,mmd,0.75,0.2488737553358078,0.002758778166025877
ag_news,nlpaueb/sec-bert-base,mmd,1.0,0.2837393581867218,0.0037877692375332117
ag_news,nlpaueb/sec-bert-base,wasserstein,0.0,0.10747379351456961,0.011261920161881865
ag_news,nlpaueb/sec-bert-base,wasserstein,0.25,0.6787322592258453,0.027801774956872815
ag_news,nlpaueb/sec-bert-base,wasserstein,0.5,1.3422626871744792,0.07399547440478792
ag_news,nlpaueb/sec-bert-base,wasserstein,0.75,1.8135233775456747,0.07288564259041307
ag_news,nlpaueb/sec-bert-base,wasserstein,1.0,2.098914074365298,0.1116112432640646
ag_news,bert-base-uncased,kl,0.0,1.066051036087947,0.1072061573448979
ag_news,bert-base-uncased,kl,0.25,2.8233189935257137,0.06628176081292425
ag_news,bert-base-uncased,kl,0.5,4.707034849019204,0.22748153260556667
ag_news,bert-base-uncased,kl,0.75,6.500572702760331,0.24566861090515096
ag_news,bert-base-uncased,kl,1.0,6.473258147993692,0.21379095794114536
ag_news,bert-base-uncased,js,0.0,0.06156214173142658,0.0037521050641697515
ag_news,bert-base-uncased,js,0.25,0.10482316419683822,0.003467561779640377
ag_news,bert-base-uncased,js,0.5,0.1664328838565452,0.009614588431477345
ag_news,bert-base-uncased,js,0.75,0.19605490016056892,0.01128585127350526
ag_news,bert-base-uncased,js,1.0,0.20661918883013727,0.011952032365248803
ag_news,bert-base-uncased,hellinger,0.0,0.27574862226215857,0.008787848018439143
ag_news,bert-base-uncased,hellinger,0.25,0.3587620027527327,0.009584108640419768
ag_news,bert-base-uncased,hellinger,0.5,0.4539008945468577,0.012898546360943869
ag_news,bert-base-uncased,hellinger,0.75,0.4949323015091343,0.014610027008952649
ag_news,bert-base-uncased,hellinger,1.0,0.5162491192787585,0.010069416604001112
ag_news,bert-base-uncased,bhattacharyya,0.0,0.0791806034267832,0.005181614280951806
ag_news,bert-base-uncased,bhattacharyya,0.25,0.13732818909914168,0.0055120894509239566
ag_news,bert-base-uncased,bhattacharyya,0.5,0.2254179587835896,0.014890553309429613
