Dataset,Model,Measure,Drift Strength,Mean,Std
wikitext,bert-base-uncased,js,0.25,1.005722523072355,0.037666926738843316
wikitext,bert-base-uncased,js,0.5,1.123315739582428,0.0060628840041487345
wikitext,bert-base-uncased,js,0.75,1.0989365468069836,0.02915460927707341
wikitext,bert-base-uncased,js,1.0,1.1033100201191173,0.020639293700708522
wikitext,bert-base-uncased,hellinger,0.0,0.621360355414926,0.05271176509713614
wikitext,bert-base-uncased,hellinger,0.25,1.1791676690932977,0.025565545244914955
wikitext,bert-base-uncased,hellinger,0.5,1.2403580862356984,0.01525217029723026
wikitext,bert-base-uncased,hellinger,0.75,1.2430997749686084,0.016579867758381803
wikitext,bert-base-uncased,hellinger,1.0,1.2459980212423722,0.01499238905623881
wikitext,bert-base-uncased,bhattacharyya,0.0,-1.2588677940420812,0.009328789891545704
wikitext,bert-base-uncased,bhattacharyya,0.25,-0.9279561849401333,0.013388666822991448
wikitext,bert-base-uncased,bhattacharyya,0.5,-0.8645423376698487,0.022038880199468116
wikitext,bert-base-uncased,bhattacharyya,0.75,-0.8570624437767145,0.032049850429750865
wikitext,bert-base-uncased,bhattacharyya,1.0,-0.8597584150745315,0.02323950839908605
wikitext,bert-base-uncased,mmd,0.0,0.026748919441054845,0.0002804319333565074
wikitext,bert-base-uncased,mmd,0.25,0.1258792259950735,0.004621467611167583
wikitext,bert-base-uncased,mmd,0.5,0.16312238169115953,0.003985004149356202
wikitext,bert-base-uncased,mmd,0.75,0.17592751887523791,0.004260743566112463
wikitext,bert-base-uncased,mmd,1.0,0.17950775037922176,0.004814134099114201
wikitext,bert-base-uncased,wasserstein,0.0,0.3459563176830611,0.07528703561642779
wikitext,bert-base-uncased,wasserstein,0.25,1.5936257644494376,0.11187460403184178
wikitext,bert-base-uncased,wasserstein,0.5,1.8598997625311215,0.11892828839412624
wikitext,bert-base-uncased,wasserstein,0.75,1.9694528283079464,0.0934769945387749
wikitext,bert-base-uncased,wasserstein,1.0,2.0202878643274307,0.10136541042641942
ag_news,nlpaueb/sec-bert-base,kl,0.0,111.11987015983958,26.260364431897756
ag_news,nlpaueb/sec-bert-base,kl,0.25,117.69416115330448,25.228819787897606
ag_news,nlpaueb/sec-bert-base,kl,0.5,133.9252998232553,23.119480458706498
ag_news,nlpaueb/sec-bert-base,kl,0.75,146.4396234832384,26.294942490447557
ag_news,nlpaueb/sec-bert-base,kl,1.0,153.46511917143334,20.126457487868493
ag_news,nlpaueb/sec-bert-base,js,0.0,3.447698028705391,0.6906158739203558
ag_news,nlpaueb/sec-bert-base,js,0.25,3.556497596584112,0.5185846776445246
ag_news,nlpaueb/sec-bert-base,js,0.5,3.787187159576122,0.5871309767026773
ag_news,nlpaueb/sec-bert-base,js,0.75,4.240336585727876,0.5619081528332324
ag_news,nlpaueb/sec-bert-base,js,1.0,4.456874007071121,0.7445636576573189
ag_news,nlpaueb/sec-bert-base,hellinger,0.0,2.1733014080284847,0.23183919141103276
