Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
wikitext,nlpaueb/sec-bert-base,hellinger,0.25,0.27485029519553317,0.007965030206370165
wikitext,nlpaueb/sec-bert-base,hellinger,0.5,0.35390713514415245,0.011657625678233587
wikitext,nlpaueb/sec-bert-base,hellinger,0.75,0.41881590445717315,0.008792174926619127
wikitext,nlpaueb/sec-bert-base,hellinger,1.0,0.4450328193332766,0.0134814026868363
wikitext,nlpaueb/sec-bert-base,js,0.0,0.047502347073363795,0.0037663151815911177
wikitext,nlpaueb/sec-bert-base,js,0.25,0.06106408926069904,0.005831800005998377
wikitext,nlpaueb/sec-bert-base,js,0.5,0.10452700347999594,0.0057996535326848425
wikitext,nlpaueb/sec-bert-base,js,0.75,0.14080000344605528,0.006862965152794161
wikitext,nlpaueb/sec-bert-base,js,1.0,0.16413624341067423,0.005263005989442173
wikitext,nlpaueb/sec-bert-base,kl,0.0,0.9416518086892071,0.08222424647481294
wikitext,nlpaueb/sec-bert-base,kl,0.25,1.0115787850145208,0.265489730482797
wikitext,nlpaueb/sec-bert-base,kl,0.5,1.6982370574568357,0.3099466958089982
wikitext,nlpaueb/sec-bert-base,kl,0.75,2.2042205423016292,0.2242888904377109
wikitext,nlpaueb/sec-bert-base,kl,1.0,3.2730405989352573,0.5607327014150542
wikitext,nlpaueb/sec-bert-base,mmd,0.0,0.017004653190573055,0.0034707023324023092
wikitext,nlpaueb/sec-bert-base,mmd,0.25,0.07274228086074193,0.0008303393764960348
wikitext,nlpaueb/sec-bert-base,mmd,0.5,0.12698866178592047,0.0020412970058444526
wikitext,nlpaueb/sec-bert-base,mmd,0.75,0.15485886732737222,0.0025327066843932777
wikitext,nlpaueb/sec-bert-base,mmd,1.0,0.16367956002553305,0.001913993577448954
wikitext,nlpaueb/sec-bert-base,wasserstein,0.0,0.1870740006407102,0.07199239138958394
wikitext,nlpaueb/sec-bert-base,wasserstein,0.25,0.3418687303185463,0.05564007207765064
wikitext,nlpaueb/sec-bert-base,wasserstein,0.5,0.557732146068414,0.05178414395299226
wikitext,nlpaueb/sec-bert-base,wasserstein,0.75,0.7154593080163002,0.04434703200274399
wikitext,nlpaueb/sec-bert-base,wasserstein,1.0,0.7835247136751811,0.039146698436380085
yelp_review_full,bert-base-uncased,bhattacharyya,0.0,0.07392507762504621,0.001158178321285476
yelp_review_full,bert-base-uncased,bhattacharyya,0.25,0.19652194939771037,0.012711592323162156
yelp_review_full,bert-base-uncased,bhattacharyya,0.5,0.3131449825976006,0.019446920397103343
yelp_review_full,bert-base-uncased,bhattacharyya,0.75,0.3096048095338998,0.028025748929225977
yelp_review_full,bert-base-uncased,bhattacharyya,1.0,0.30219238540648896,0.024492066701388357
yelp_review_full,bert-base-uncased,hellinger,0.0,0.2669374646766464,0.0020126362601733915
yelp_review_full,bert-base-uncased,hellinger,0.25,0.42476284336896963,0.022583978469697476
yelp_review_full,bert-base-uncased,hellinger,0.5,0.5156651972129607,0.021387547436684216
yelp_review_full,bert-base-uncased,hellinger,0.75,0.5143855499074611,0.019911114280198806
yelp_review_full,bert-base-uncased,hellinger,1.0,0.5137945108394341,0.020417396401549128
yelp_review_full,bert-base-uncased,js,0.0,0.058355409206252366,0.0008548454281400177
yelp_review_full,bert-base-uncased,js,0.25,0.14129497300473393,0.012052065894304145
yelp_review_full,bert-base-uncased,js,0.5,0.21947581227047944,0.017789504061577803
yelp_review_full,bert-base-uncased,js,0.75,0.2148855093693954,0.014123953879643717
yelp_review_full,bert-base-uncased,js,1.0,0.20478793470314308,0.01435866316745755
yelp_review_full,bert-base-uncased,kl,0.0,1.039174528993163,0.043752156734402275
yelp_review_full,bert-base-uncased,kl,0.25,1.946235474254881,0.16829627805867298
yelp_review_full,bert-base-uncased,kl,0.5,3.48563081485122,0.45335996211871044
yelp_review_full,bert-base-uncased,kl,0.75,4.0193149112265205,0.16808317234859452
yelp_review_full,bert-base-uncased,kl,1.0,4.1403145570587725,0.3277651005340531
yelp_review_full,bert-base-uncased,mmd,0.0,0.01789759782453378,0.0024509331947350386
yelp_review_full,bert-base-uncased,mmd,0.25,0.3761669298013051,0.0035433716184554904
yelp_review_full,bert-base-uncased,mmd,0.5,0.5287994345029196,0.0008736914428028335
yelp_review_full,bert-base-uncased,mmd,0.75,0.5695232351620992,0.0032905307098988457
yelp_review_full,bert-base-uncased,mmd,1.0,0.5717215538024902,0.003396357865781926
yelp_review_full,bert-base-uncased,wasserstein,0.0,0.1262769911934932,0.026430868135136412
yelp_review_full,bert-base-uncased,wasserstein,0.25,2.017222553643584,0.22771141416820576
yelp_review_full,bert-base-uncased,wasserstein,0.5,2.9440766163979966,0.23761339196033385
yelp_review_full,bert-base-uncased,wasserstein,0.75,2.776743494807681,0.27168854592164393
yelp_review_full,bert-base-uncased,wasserstein,1.0,2.5059930108408133,0.2662718053442656
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.08359223283730698,0.012036989380461702
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.11938677422057416,0.01317725767861113
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.21558576268125837,0.009542096507672541
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.2947643930219925,0.012470351936461963
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.32125898645350165,0.008446589773988352
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.2826671465525514,0.01931372003161307
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.34246074711038593,0.009316826379204248
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.43386026006599726,0.007108084938069453
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.5020563219764426,0.002150445797632513
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,0.5270628888796065,0.0020868384478686013
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,0.06401122458723395,0.009124281530469245
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,0.09202734097653555,0.008200502590006136
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,0.14983412067228716,0.002182702264934398
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,0.19431051981940237,0.005430747042579608
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,0.21229570275721943,0.005516584742455646
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,1.1884112090756558,0.25425300767534087
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,1.985380494892193,0.32804876992221504
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,4.118564794024557,0.40044798067158255
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,5.8267375737699645,0.2962887682215739
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,6.473399318501798,0.2069533330902555
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.017197755475838978,0.0012658956144676492
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.15180243055025736,0.002983190219157261
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.2640248239040375,0.0033012146077376556
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.32495367527008057,0.0023756856833904495
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.3473195433616638,0.0020692295674092135
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.09656046980222066,0.02627825215396477
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.6944950706481934,0.024628620816959813
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.2715578746477763,0.014350976379089591
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.606761431447665,0.008122311761069975
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.7409693961222965,0.026264409472196854
