window_time,drift_distance,threshold,drift_detected,accuracy,auc,method
2016-10-07 13:41:23.872992768,0.0456516488224327,0.056598731312276,0,0.9700066357000664,0.9951628968859444,js_kll
2016-10-17 11:55:33.511858432,0.0448962202440918,0.056598731312276,0,0.9749430523917996,0.9965663720648624,js_kll
2016-10-27 01:29:41.976607488,0.0430770082624654,0.056598731312276,0,0.9677850554738672,0.9948193011232784,js_kll
2016-11-05 01:35:03.399676928,0.0451752586194313,0.056598731312276,0,0.9741622930964876,0.9961169449653317,js_kll
2016-11-14 19:01:10.739316736,0.0438203917264629,0.056598731312276,0,0.9724045545880776,0.9951873849013252,js_kll
2016-11-25 12:35:37.448248320,0.0462500453153439,0.056598731312276,0,0.968562674836819,0.9943729423206012,js_kll
2016-12-03 15:52:34.117192704,0.0471474535198425,0.056598731312276,0,0.9703023039019842,0.996177784409808,js_kll
2016-12-10 08:59:30.693692160,0.0462052939258197,0.056598731312276,0,0.975596746232831,0.9957150348138878,js_kll
2016-12-17 08:49:39.525993984,0.0461680384297969,0.056598731312276,0,0.9724770642201837,0.9958783696859832,js_kll
2016-12-24 06:30:44.857579520,0.0449651376994849,0.056598731312276,0,0.9751561046897834,0.9964480545386588,js_kll
2016-12-30 03:47:24.421860352,0.0451075331682441,0.056598731312276,0,0.9743284372105332,0.9962206664039944,js_kll
2017-01-04 22:16:38.277375232,0.0452920899570067,0.056598731312276,0,0.975886151008038,0.996317702279957,js_kll
2017-01-10 20:56:48.223647488,0.0439934515554061,0.056598731312276,0,0.9739478957915833,0.9955256790360728,js_kll
2017-01-17 04:59:38.757997568,0.0440777645313139,0.056598731312276,0,0.9745683308794004,0.9961872896245488,js_kll
2017-01-24 02:28:52.148750848,0.0442402733512091,0.056598731312276,0,0.9761999206664024,0.9960563049754436,js_kll
2017-01-31 17:37:25.901447424,0.0508843872341436,0.056598731312276,0,0.9717093903572852,0.9956585327842812,js_kll
2017-02-08 10:39:14.659304192,0.0491394734439963,0.056598731312276,0,0.9747387911651898,0.996188022503812,js_kll
2017-02-16 13:19:43.407748864,0.0499896196709578,0.056598731312276,0,0.9743486973947896,0.9962613055846748,js_kll
2017-02-25 01:31:15.515959808,0.0477574222942895,0.056598731312276,0,0.968474977013004,0.9943666800059094,js_kll
2017-03-04 23:00:53.579133440,0.0470257007258361,0.056598731312276,0,0.9748658201335252,0.9957494156392072,js_kll
2017-03-12 14:57:13.493110272,0.0480329207462018,0.056598731312276,0,0.9720401337792642,0.9944768508040088,js_kll
2017-03-19 07:30:07.155601920,0.0474226276550985,0.056598731312276,0,0.9744358940915612,0.99639635234845,js_kll
2017-03-26 15:48:53.983547904,0.0464518354217368,0.056598731312276,0,0.9734642430675337,0.9961268857027954,js_kll
2017-04-03 09:24:18.020380928,0.048303899522995,0.056598731312276,0,0.970960436925536,0.995292120370584,js_kll
2017-04-11 11:19:21.909979904,0.0470313328614752,0.056598731312276,0,0.9703951774949764,0.995716189898255,js_kll
2017-04-19 13:38:16.158673664,0.0454961428688922,0.056598731312276,0,0.9681595983617388,0.9956322506718136,js_kll
2017-04-27 04:32:28.451162880,0.045464636976055,0.056598731312276,0,0.9730232558139534,0.9964345856056284,js_kll
2017-05-05 05:58:39.392567040,0.0489557757108163,0.056598731312276,0,0.9718928999600372,0.9957892869085724,js_kll
2017-05-14 04:22:32.892679424,0.0471051579471437,0.056598731312276,0,0.9721961047683008,0.9960161450779934,js_kll
2017-05-21 19:24:48.956270336,0.0464157235549289,0.056598731312276,0,0.970059093893631,0.9952534884661072,js_kll
2017-05-29 21:29:31.905385472,0.0448611651745242,0.056598731312276,0,0.970867299211546,0.9957772404447194,js_kll
2017-06-06 21:26:11.897116160,0.0449383834233119,0.056598731312276,0,0.9696969696969696,0.9947705264957052,js_kll
2017-06-14 20:46:07.987727104,0.044404416085581,0.056598731312276,0,0.9715977924350518,0.9959514671553268,js_kll
2017-06-22 20:00:49.528886016,0.0440329957111659,0.056598731312276,0,0.9706871050154632,0.9954542495519124,js_kll
2017-07-01 09:36:16.053435904,0.045983657134907,0.056598731312276,0,0.9682281059063136,0.9946955789197292,js_kll
2017-07-12 14:58:14.009790208,0.0439986123438622,0.056598731312276,0,0.95874079035499,0.9932898510072632,js_kll
2017-07-19 05:59:53.470542080,0.042803313296701,0.056598731312276,0,0.9781700579436734,0.9969926543554688,js_kll
2017-07-24 10:00:41.826860544,0.0434848514738662,0.056598731312276,0,0.9705215419501134,0.995800313666868,js_kll
2017-07-31 22:57:28.080697088,0.0441629350009447,0.056598731312276,0,0.9682453521509023,0.9948123526042432,js_kll
2017-08-07 12:03:09.532411648,0.0422679950969376,0.056598731312276,0,0.969857433808554,0.99564967393878,js_kll
2017-08-14 17:50:42.746228992,0.0452249505647388,0.056598731312276,0,0.9726694628602354,0.9961236425747798,js_kll
